source	target
AR	AAK1
AR	MTMR9
AR	DOCK5
AR	FAM110B
AR	MTHFD1
AR	PRKACB
AR	FAM214A
AR	NEDD4
AR	TPM1
AR	CDKN1A
AR	NT5DC1
AR	EPN1
AR	IQGAP2
AR	FLNB
AR	MASP1
AR	CES2
AR	PPFIBP2
AR	FAM107B
AR	PER1
AR	CDON
AR	MGRN1
AR	FOS
AR	MYL12A
AR	MYL12B
AR	AAGAB
AR	EWSR1
AR	ZFAND3
AR	PTP4A2
AR	BZW1
AR	GIPC1
AR	SMG6
AR	CTDNEP1
AR	CHD3
AR	ALOXE3
AR	VAMP2
AR	RAI1
AR	SPECC1
AR	BAIAP2
AR	DUS1L
AR	CCDC6
AR	PIK3AP1
AR	WBP1L
AR	CTBP1
AR	G3BP2
AR	SKI
AR	GPR153
AR	ACOT7
AR	RERE
AR	TMEM201
AR	HMGCS2
AR	EFNA1
AR	GPR161
AR	GLUL
AR	ARF1
AR	GGT1
AR	ASCC2
AR	PACSIN2
AR	COMMD7
AR	TTI1
AR	GABRB3
AR	ANP32A
AR	ARID3B
AR	ANPEP
AR	IGF1R
AR	ELF1
AR	TPT1
AR	COL4A2
AR	GREB1
AR	TMEM163
AR	MYO1B
AR	POLR3E
AR	UBFD1
AR	MT1X
AR	ESRP2
AR	FBXO31
AR	OSBPL5
AR	TSKU
AR	WWP1
AR	DECR1
AR	PSEN1
AR	NPR2
AR	LTBR
AR	GOLGA3
AR	SCAP
AR	PDIA5
AR	TIPARP
AR	MCCC1
AR	ARHGEF28
AR	HSD17B4
AR	CTNNA1
AR	TBC1D9B
AR	FKBP5
AR	CITED2
AR	ZC3HAV1
AR	EPHB6
AR	SIN3B
AR	CRTC1
AR	HPN
AR	PSMD8
AR	MTCL1
AR	GNAL
AR	TRAPPC8
AR	CNDP2
AR	ASPH
AR	LACTB2
AR	WNK1
AR	LSM11
AR	FRMD4A
AR	MTCH1
AR	SASH1
AR	CALD1
AR	SETD5
AR	BCL9
AR	SUCO
AR	RALY
AR	LMCD1
AR	EMC3
AR	ANKRD28
AR	NISCH
AR	LRIG1
AR	NXPE3
AR	PHLDB2
AR	HGD
AR	ITGB5
AR	EEFSEC
AR	SLC25A36
AR	TM4SF1
AR	MME
AR	GFM1
AR	FNDC3B
AR	ATP11B
AR	LPP
AR	TNK2
AR	SHROOM2
AR	TSPYL2
AR	BIRC6
AR	LTBP1
AR	ANXA4
AR	PSD4
AR	DBI
AR	DPP4
AR	COBLL1
AR	RAPGEF4
AR	TFPI
AR	PGAP1
AR	IDH1
AR	EBF4
AR	UQCC1
AR	NNAT
AR	KLF6
AR	ABI1
AR	FAM13C
AR	ANK3
AR	HK1
AR	USP54
AR	GLUD1
AR	ACSL5
AR	CTBP2
AR	EEF2K
AR	KAT8
AR	FTO
AR	MT2A
AR	USP10
AR	GSE1
AR	SLC7A5
AR	FCHO2
AR	ELL2
AR	FEM1C
AR	SIL1
AR	TCERG1
AR	FAXDC2
AR	FBXW11
AR	SETBP1
AR	SMAD4
AR	KANK1
AR	SMARCA2
AR	PLIN2
AR	HSDL2
AR	TNC
AR	C5
AR	GAPVD1
AR	MAPKAP1
AR	BRD3
AR	RXRA
AR	HPX
AR	SBF2
AR	CTNND1
AR	PC
AR	C2CD3
AR	AMOTL1
AR	ENDOD1
AR	ECI2
AR	PTK7
AR	MYO6
AR	FRK
AR	ARID1B
AR	SLC22A1
AR	SERPIND1
AR	PRR5
AR	KIAA0232
AR	FIP1L1
AR	PAPSS1
AR	LARP1B
AR	SETD7
AR	SORBS2
AR	GET4
AR	ACTB
AR	EIF2AK1
AR	GRB10
AR	FZD1
AR	PDK4
AR	ZKSCAN1
AR	TRIP6
AR	GSTK1
AR	WDFY2
AR	ADIPOR2
AR	CD9
AR	USP5
AR	MGST1
AR	ITPR2
AR	PPHLN1
AR	TWF1
AR	METTL7A
AR	OSBPL8
AR	ATP2B1
AR	GLTP
AR	HECTD4
AR	HPD
AR	NCOR2
AR	ULK1
AR	SLC7A8
AR	FAM177A1
AR	NFKBIA
AR	GMFB
AR	KTN1
AR	NUMB
AR	ITPK1
AR	EVL
AR	SREBF1
AR	ALDH3A2
AR	RFFL
AR	AP2B1
AR	PNPO
AR	ACSF2
AR	VMP1
AR	GPRC5C
AR	HID1
AR	CANT1
AR	SPPL2A
AR	ETFA
AR	ABHD2
AR	ERRFI1
AR	UBE4B
AR	JUN
AR	NFIA
AR	ACADM
AR	KCNC4
AR	SLC50A1
AR	ATP1B1
AR	QSOX1
AR	DEGS1
AR	EPHX1
AR	CD320
AR	AKT2
AR	FAM167A
AR	MTUS1
AR	PSD3
AR	EPHX2
AR	FNTA
AR	RAD21
AR	TRIB1
AR	SLC45A4
AR	PDCD6IP
AR	POLR3A
AR	ACADSB
AR	CDC23
AR	NFIB
AR	ADAM9
AR	DERL1
AR	PITHD1
AR	F5
AR	PAK1
AR	CYTH1
AR	DERA
AR	R3HDM2
AR	ISCU
AR	SCARB1
AR	STRN3
AR	DHRS7
AR	TMEM229B
AR	SRSF5
AR	LGMN
AR	CLMN
AR	TECPR2
AR	RCOR1
AR	PXDN
AR	ADI1
AR	RNF144A
AR	KIDINS220
AR	YWHAQ
AR	FKBP1B
AR	CENPO
AR	EML4
AR	SLC3A1
AR	EPAS1
AR	RTN4
AR	SFXN5
AR	STAMBP
AR	IL1R1
AR	TGFBRAP1
AR	ANAPC1
AR	SLC20A1
AR	SLC35F5
AR	PLEKHB2
AR	KIF5C
AR	CHN1
AR	NCKAP1
AR	MFSD6
AR	HSPD1
AR	NRP2
AR	XRCC5
AR	CYP27A1
AR	NHEJ1
AR	ACSL3
AR	RHBDD1
AR	MFF
AR	ITM2C
AR	AGAP1
AR	DEAF1
AR	NUP98
AR	EXT2
AR	CREB3L1
AR	ATG13
AR	F2
AR	GLYATL1
AR	PRPF19
AR	FADS1
AR	FADS2
AR	AHNAK
AR	TM7SF2
AR	GSTP1
AR	FAM168A
AR	GDPD5
AR	PICALM
AR	PRSS23
AR	C11orf54
AR	CEP57
AR	SIK3
AR	PHLDB1
AR	ZBTB44
AR	GTF3A
AR	LNX2
AR	POLR1D
AR	FRY
AR	DCLK1
AR	SMAD9
AR	VWA8
AR	INTS6
AR	LMO7
AR	DOCK9
AR	TPP2
AR	ARGLU1
AR	ARHGEF7
AR	GAS6
AR	RAB11FIP3
AR	RAB40C
AR	IFT140
AR	GLYR1
AR	TXNDC11
AR	XPO6
AR	ZNF689
AR	RBL2
AR	AMFR
AR	HERPUD1
AR	USB1
AR	MMP15
AR	CYB5B
AR	GDI2
AR	SGMS1
AR	ADO
AR	SPOCK2
AR	KCNMA1
AR	PPIF
AR	PDLIM1
AR	BLNK
AR	GOT1
AR	GBF1
AR	ACTR1A
AR	SUFU
AR	PTPRE
AR	RNF4
AR	TBC1D14
AR	RFC1
AR	PDS5A
AR	RBM47
AR	CLOCK
AR	MAPK10
AR	SMARCAD1
AR	PDLIM5
AR	SEC24B
AR	ANK2
AR	SEC24D
AR	MAML3
AR	GAB1
AR	LRBA
AR	SH3D19
AR	TRIM2
AR	TMEM192
AR	PALLD
AR	WWC2
AR	TLR3
AR	FAT1
AR	GAMT
AR	MBD3
AR	ARHGEF18
AR	HNRNPM
AR	PDE4A
AR	AP1M1
AR	JUND
AR	PEPD
AR	UBA2
AR	HNRNPL
AR	FGL1
AR	LGI3
AR	RHOBTB2
AR	CCDC25
AR	MTFR1
AR	SULF1
AR	TMEM70
AR	PAG1
AR	PDP1
AR	TSPYL5
AR	COX6C
AR	UBR5
AR	ATP6V1C1
AR	SYBU
AR	EIF3H
AR	NDUFB9
AR	ASAP1
AR	NDRG1
AR	PTK2
AR	USP14
AR	YES1
AR	MIB1
AR	TTC39C
AR	CDH2
AR	GALNT1
AR	TPGS2
AR	DYM
AR	FECH
AR	ZNF532
AR	CYB5A
AR	MBP
AR	PITPNA
AR	SGSM2
AR	ZZEF1
AR	NATD1
AR	FAM222B
AR	PIPOX
AR	NF1
AR	MYO1D
AR	KRT19
AR	STAT3
AR	NPEPPS
AR	NFE2L1
AR	CALCOCO2
AR	PHB
AR	HLF
AR	PCTP
AR	MSI2
AR	TANC2
AR	C17orf58
AR	ABCA5
AR	SDK2
AR	UNK
AR	RNF157
AR	TNRC6C
AR	AFMID
AR	TBC1D16
AR	BAHCC1
AR	SRD5A1
AR	TRIO
AR	MTMR12
AR	AMACR
AR	DAB2
AR	OXCT1
AR	SLC38A9
AR	MCCC2
AR	MAP1B
AR	TTC37
AR	RHOBTB3
AR	CAST
AR	RGMB
AR	PAM
AR	PPIP5K2
AR	CDO1
AR	AP3S1
AR	SEMA6A
AR	FBN2
AR	CDC42SE2
AR	SPOCK1
AR	DPYSL3
AR	CSNK1A1
AR	CYFIP2
AR	CLINT1
AR	ERGIC1
AR	CANX
AR	BTD
AR	OSBPL10
AR	CLASP2
AR	CTDSPL
AR	ARHGEF3
AR	SLMAP
AR	PRICKLE2
AR	ZBTB20
AR	PLA1A
AR	MYLK
AR	KALRN
AR	SLC41A3
AR	SEC61A1
AR	PIK3R4
AR	NUDT16
AR	RNF7
AR	PLOD2
AR	CP
AR	PLD1
AR	MCF2L2
AR	KLHL24
AR	AP2M1
AR	ST6GAL1
AR	ATP13A3
AR	XXYLT1
AR	LRCH3
AR	GNA12
AR	AIMP2
AR	C1GALT1
AR	TSPAN13
AR	AHR
AR	TAX1BP1
AR	MTURN
AR	GLI3
AR	CAMK2B
AR	AUTS2
AR	BAZ1B
AR	CLIP2
AR	SEMA3C
AR	CLDN12
AR	AKAP9
AR	SLC25A13
AR	BRI3
AR	SRPK2
AR	HBP1
AR	MET
AR	CPED1
AR	IMPDH1
AR	CALU
AR	EXOC4
AR	HIPK2
AR	KCNH2
AR	C20orf194
AR	RNF24
AR	CST3
AR	ENTPD6
AR	PYGB
AR	EPB41L1
AR	NCOA5
AR	B4GALT5
AR	ATP9A
AR	YTHDF1
AR	HELZ2
AR	THBS1
AR	EIF2AK4
AR	DISP2
AR	SNAP23
AR	B2M
AR	GATM
AR	TRPM7
AR	TMOD3
AR	ZNF280D
AR	ANXA2
AR	TLN2
AR	CA12
AR	USP3
AR	ZNF609
AR	SMAD3
AR	ITGA11
AR	RPLP1
AR	THSD4
AR	CSK
AR	TBC1D2B
AR	IREB2
AR	MORF4L1
AR	ZNF592
AR	ALPK3
AR	AKAP13
AR	PCSK6
AR	GLIS3
AR	MPDZ
AR	GBA2
AR	ZCCHC7
AR	KLF9
AR	PRUNE2
AR	HNRNPK
AR	TRIM14
AR	CORO2A
AR	MRPL50
AR	ZNF462
AR	EPB41L4B
AR	PTGR1
AR	PAPPA
AR	FBXW2
AR	STOM
AR	DENND1A
AR	PBX3
AR	GPR107
AR	ASS1
AR	WRNIP1
AR	SLC22A23
AR	DSP
AR	C2
AR	BRD2
AR	ITPR3
AR	BACH2
AR	FIG4
AR	TRAF3IP2
AR	FYN
AR	TSPYL1
AR	TPD52L1
AR	PTPRK
AR	RPS12
AR	MAP7
AR	HEBP2
AR	NHSL1
AR	HIVEP2
AR	PHACTR2
AR	EZR
AR	USP25
AR	APP
AR	BACH1
AR	MRPS6
AR	TTC3
AR	BRWD1
AR	ADARB1
AR	SPATC1L
AR	LRRC75B
AR	AP1B1
AR	ST13
AR	SLC2A3
AR	YBX3
AR	ART4
AR	PTPRO
AR	EPS8
AR	ANO6
AR	SLC38A2
AR	HDAC7
AR	SLC4A8
AR	ACVR1B
AR	PCBP2
AR	PPM1H
AR	METAP2
AR	NT5DC3
AR	TXNRD1
AR	PWP1
AR	ERP29
AR	VSIG10
AR	CIT
AR	RAB35
AR	CAMKK2
AR	MLXIP
AR	CLIP1
AR	TCTN2
AR	CD99
AR	RPS6KA3
AR	TAB3
AR	KDM5C
AR	AR
AR	OGT
AR	FHL1
AR	GNB1
AR	CTNNBIP1
AR	EXOSC10
AR	MTOR
AR	TNFRSF1B
AR	DHRS3
AR	NBPF1
AR	UBR4
AR	CAPZB
AR	ARID1A
AR	KIAA1522
AR	MEAF6
AR	SCMH1
AR	OSBPL9
AR	SCP2
AR	DHCR24
AR	ANGPTL3
AR	CACHD1
AR	AK4
AR	PDE4B
AR	ABCD3
AR	CNN3
AR	S1PR1
AR	AHCYL1
AR	STRIP1
AR	RHOC
AR	FMO5
AR	S100A11
AR	ATF6
AR	MPZL1
AR	DCAF6
AR	DNM3
AR	PRDX6
AR	CEP350
AR	NAV1
AR	KLHDC8A
AR	ELK4
AR	HSD11B1
AR	DISP1
AR	SIPA1L2
AR	IRF2BP2
AR	OPN3
AR	COX20
AR	UPP1
AR	UBN2
AR	CLPX
AR	CTSH
AR	GNE
AR	TJP2
AR	CAMSAP1
AR	SLC41A2
AR	UPB1
AR	ZCCHC2
AR	SLAIN2
AR	CXCL10
AR	RAF1
AR	THRB
AR	ACAA1
AR	MFN1
AR	MAST2
AR	SOAT1
AR	INTS7
AR	HMOX2
AR	FTH1
AR	HSPA4
AR	ST3GAL1
AR	MEMO1
AR	PMP22
AR	MAMDC2
AR	ABL1
AR	RAPGEF1
AR	ANAPC2
AR	ITFG1
AR	PHKB
AR	FERMT2
AR	SAMD4A
AR	FLRT2
AR	CKB
AR	KLC1
AR	LPIN1
AR	MYD88
AR	ARIH2
AR	RAD54L2
AR	PBRM1
AR	ITIH4
AR	GBE1
AR	GSK3B
AR	FSTL1
AR	XRN1
AR	B3GALNT1
AR	TBL1XR1
AR	SLIT2
AR	PPARGC1A
AR	DCUN1D4
AR	ACSL1
AR	SNX25
AR	NIPBL
AR	FAM169A
AR	DMXL1
AR	CAMLG
AR	TTC1
AR	CRLS1
AR	APMAP
AR	NECAB3
AR	SDC4
AR	ZNF217
AR	PMEPA1
AR	HERC2
AR	CHP1
AR	ZNF106
AR	GLCE
AR	MFHAS1
AR	SCARA3
AR	SARAF
AR	DCTN6
AR	MROH1
AR	BTBD2
AR	ELAVL1
AR	C19orf12
AR	HUNK
AR	COL18A1
AR	MTHFR
AR	AK2
AR	MAP7D1
AR	SMAP2
AR	HIVEP3
AR	TTC39A
AR	DDAH1
AR	DBT
AR	IL6R
AR	PBX1
AR	MGST3
AR	PRRC2C
AR	CDC73
AR	IRF6
AR	TMEM63A
AR	TTC17
AR	HSD17B12
AR	SLC43A1
AR	EEF1G
AR	WDR74
AR	SLC3A2
AR	FRMD8
AR	PPP2R1B
AR	PPARA
AR	TNFRSF1A
AR	LRP6
AR	DUSP16
AR	ARNTL2
AR	LIMA1
AR	DAZAP2
AR	SRGAP1
AR	BTG1
AR	LPIN2
AR	MAPRE2
AR	SEZ6
AR	RUNDC1
AR	CLTC
AR	USP32
AR	NOL11
AR	SLC9A3R1
AR	DAGLB
AR	TMEM106B
AR	OGDH
AR	EGFR
AR	ANKIB1
AR	SMURF1
AR	ZKSCAN5
AR	SYPL1
AR	ITGB1
AR	UBE2D1
AR	VCL
AR	CCSER2
AR	ANKRD1
AR	GSTO1
AR	PDZD8
AR	WDR11
AR	PRPF4B
AR	DDX39B
AR	CNPY3
AR	SNX14
AR	ARG1
AR	FOXO1
AR	DZIP1
AR	NEK6
AR	GPX3
AR	QDPR
AR	TRIM44
AR	SPTBN2
AR	NUMA1
AR	CREBBP
AR	MAP2K1
AR	FDFT1
AR	GALNT16
AR	PTGDS
AR	MFAP4
AR	CBX4
AR	ATXN2
AR	RAB3D
AR	DLG5
AR	CPEB3
AR	HP1BP3
AR	CSRNP1
AR	NKAIN1
AR	SOS2
AR	MAPK14
AR	EDEM1
AR	RAB36
AR	ETV1
AR	RAP1B
AR	CEBPA
AR	ENTPD5
AR	ERBB2
AR	MEF2D
AR	MAP1LC3B
AR	PARP4
AR	NBL1
AR	SART3
AR	SPINT2
AR	CTSB
AR	LMTK2
AR	FBN1
AR	SHC4
AR	RANBP9
AR	TRERF1
AR	TMEM222
AR	EYA3
AR	XBP1
AR	FAM102A
AR	FZD3
AR	ICMT
AR	SLC39A6
AR	TNFRSF19
ARNT	GET4
ARNT	MAFK
ARNT	ACTB
ARNT	POM121C
ARNT	CDK6
ARNT	REPIN1
ARNT	PDXK
ARNT	RAB40C
ARNT	HSD3B7
ARNT	VKORC1
ARNT	KAT8
ARNT	ESRP2
ARNT	CMIP
ARNT	GSE1
ARNT	PIEZO1
ARNT	ANKRD11
ARNT	GAPDH
ARNT	ENO2
ARNT	RIMKLB
ARNT	SHMT2
ARNT	CHST11
ARNT	CIT
ARNT	KDM2B
ARNT	MLXIP
ARNT	NCOR2
ARNT	UBC
ARNT	PDIA6
ARNT	FOSL2
ARNT	SOS1
ARNT	PCBP1
ARNT	KRCC1
ARNT	PDK1
ARNT	CFLAR
ARNT	CTDSP1
ARNT	ABCB6
ARNT	PTMA
ARNT	TRIO
ARNT	PAM
ARNT	CXXC5
ARNT	KCTD16
ARNT	TNIP1
ARNT	FAXDC2
ARNT	ERGIC1
ARNT	PRR7
ARNT	YDJC
ARNT	MIF
ARNT	PDXP
ARNT	MAFF
ARNT	PLIN2
ARNT	CCDC107
ARNT	NEK6
ARNT	LDHA
ARNT	FADS2
ARNT	FADS1
ARNT	C11orf68
ARNT	RAD9A
ARNT	CDK2AP2
ARNT	CSRNP1
ARNT	GBE1
ARNT	XXYLT1
ARNT	TFRC
ARNT	POLRMT
ARNT	FSTL3
ARNT	MIDN
ARNT	CIRBP
ARNT	MOB3A
ARNT	SH3GL1
ARNT	DPP9
ARNT	ICAM1
ARNT	RAVER1
ARNT	GPI
ARNT	SPINT2
ARNT	STRN4
ARNT	PFKP
ARNT	HK1
ARNT	FUT11
ARNT	PPP1R3C
ARNT	PGAM1
ARNT	SCD
ARNT	LZTS2
ARNT	MXI1
ARNT	ADAM12
ARNT	ZBTB4
ARNT	MAPK7
ARNT	GPRC5C
ARNT	AFMID
ARNT	MAFG
ARNT	NARF
ARNT	PGK1
ARNT	SLC39A14
ARNT	CCAR2
ARNT	STC1
ARNT	PLEC
ARNT	PPP1R16A
ARNT	CDKN1A
ARNT	VEGFA
ARNT	PNRC1
ARNT	CITED2
ARNT	HIVEP2
ARNT	HM13
ARNT	EPB41L1
ARNT	STX16
ARNT	EEF1A2
ARNT	ZNF512B
ARNT	SAMD10
ARNT	PRPF6
ARNT	SMAD3
ARNT	CYP1A1
ARNT	AGRN
ARNT	DHRS3
ARNT	ATP13A2
ARNT	PTP4A2
ARNT	AK2
ARNT	SLC2A1
ARNT	JUN
ARNT	AK4
ARNT	AMPD2
ARNT	S100A10
ARNT	DENND4B
ARNT	CRABP2
ARNT	TAGLN2
ARNT	IRF2BP2
ARNT	APC2
ARNT	BCAM
ARNT	PLA2G4C
ARNT	PPP2R1A
ARNT	TRIM28
ARNT	TP53INP2
ARNT	ATP9A
ARNT	ARID3B
ARNT	IGF1R
ARNT	PXDN
ARNT	SPEG
ARNT	PPFIBP2
ARNT	CREB3L1
ARNT	STARD10
ARNT	C2CD3
ARNT	PAK1
ARNT	TMEM45B
ARNT	TSC2
ARNT	UBR5
ARNT	SYBU
ARNT	NDRG1
ARNT	SLC45A4
ARNT	ADAP1
ARNT	TNRC18
ARNT	ZKSCAN1
ARNT	TMEM140
ARNT	DENND2A
ARNT	DENND1A
ARNT	MAPKAP1
ARNT	RAPGEF1
ARNT	CAMSAP1
ARNT	SEC16A
ARNT	LMCD1
ARNT	SRGAP3
ARNT	EMC3
ARNT	ANKRD28
ARNT	RPL14
ARNT	FLNB
ARNT	ITGB5
ARNT	ACAD11
