source	RNAseq_Rif_The_DEgene	RNAseq_Rif_Tox_DEgene	RNAseq_DEgene_toProtein_Rif_The	RNAseq_DEgene_toProtein_Rif_Tox	traceback_across_TFs	existed_across_TFs	traceback_TFs_RNAseq_Rif_The_DEgene	traceback_TFs_RNAseq_Rif_Tox_DEgene	traceback_TFs_RNAseq_DEgene_toProtein_Rif_The	traceback_TFs_RNAseq_DEgene_toProtein_Rif_Tox
LTBP1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ELN	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ARID1B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CLPTM1L	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PPP1R3F	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
NEXMIF	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
DKK3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LIMA1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
SLC4A8	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
HERPUD1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
HEBP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MSMO1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TTC17	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FSTL4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NNAT	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MCF2L2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
AP5M1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PHPT1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
OPN3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PTPRN	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
KIF1B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ATP9A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
FAM168A	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RELT	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
KCNH2	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CYFIP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
ITIH4	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
TRAF3IP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DCBLD2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SOAT1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
F7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
GDI2	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
PITHD1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MTA3	TRUE	TRUE	NA	NA	NA	NA	TRUE	TRUE	TRUE	TRUE
ATP11B	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
LAMC2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SEC61A1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
CAMK2B	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
POLR3E	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
FLYWCH1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PARP12	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
SLC2A3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PSD	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
YBX3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
WNK1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
CCAR1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
CREB3L3	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
PIGV	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
PTPRU	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
RIMBP2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
MPC1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
ACAA1	TRUE	TRUE	TRUE	TRUE	NA	NA	NA	NA	NA	NA
HDAC7	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
LZTS1	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
NCKAP1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
MRPS35	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
GUCY1B1	TRUE	NA	NA	NA	NA	NA	NA	NA	NA	NA
TNK2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
DGAT2	TRUE	TRUE	NA	NA	NA	NA	NA	NA	NA	NA
