Row Names	20180205_04_S171849_1186	20180205_23_S171850_1187	20180205_25_S171851_1188	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P01893|HLAH_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	271.4489	646.6974	553.4205	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P01903|DRA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	862.31665	659.141	603.8087	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P02511|CRYAB_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	896.4851	689.98285	405.96118	376.49115	46.371918	367.026	NaN	NaN	NaN
sp|P02533|K1C14_HUMAN	16447.113	333.9671	441.4518	37858.094	34194.71	51753.562	72248.16	98884.51	79262.09	22783.258	30626.55	21420.66	91743.516	116679.66	87842.125	66870.336	80373.55	87451.09	55618.547	86813.984	79914.48	83147.62	78537.016	78549.016	64023.75	89418.984	88796.97	33303.395	47378.45	39055.188	34979.902	38515.19	59171.566	55155.97	33299.473	528671.56	66892.586	64845.7	87593.7	63022.71	33492.2	41816.5
sp|P02538|K2C6A_HUMAN	6902.883	493.78748	527.0409	9541.226	8796.989	643.40625	NaN	14552.44	13409.491	15136.26	11286.626	12793.17	16569.648	10832.547	13385.888	12922.106	10852.16	20836.209	12287.424	17260.412	14673.818	16047.94	13379.96	13094.845	8547.157	13954.319	10813.665	NaN	10537.891	13593.672	11314.648	14181.155	17797.879	4843.286	18389.23	101371.46	11319.081	10058.544	15624.196	19958.568	14837.167	14391.129
sp|P02545|LMNA_HUMAN	30409.504	58285.953	41521.457	35354.918	33712.824	40625.28	53253.22	95305.4	95350.63	123328.41	85152.91	97223.52	71733.58	68671.164	71423.41	56432.28	56021.164	43288.484	16582.61	96436.305	61081.156	74929.05	68724.914	60703.992	39386.34	33687.883	53001.875	19928.139	67594.805	69930.164	49567.5	55235.496	68960.19	14535.611	51941.125	97703.64	41629.64	55758.727	45778.273	67439.375	58349.883	52708.492
sp|P02549|SPTA1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	322.89044	1954.4888	41.283627	NaN	NaN	NaN	NaN	NaN	NaN
sp|P02647|APOA1_HUMAN	3378.8105	92596.695	91740.37	14125.723	16987.5	6904.937	890.0129	7120.8887	7451.103	20535.484	11709.386	24029.572	10368.644	6822.9473	8183.1924	25929.617	35705.82	16007.596	22233.91	44566.906	40685.234	33860.25	20936.479	24766.06	22609.354	17814.86	18589.195	3986.3254	10954.467	11226.676	14666.163	10956.038	17177.78	8627.572	9078.35	5260.248	21661.955	22963.715	20873.49	17114.855	23550.342	25591.422
sp|P02649|APOE_HUMAN	19813.541	42432.098	30654.697	58778.555	53652.336	62669.477	14427.9375	57573.68	56408.4	44765.086	37419.836	46934.457	40912.465	32415.947	37667.656	48880.15	60197.855	37594.08	41412.78	60360.4	43310.938	87971.35	47866.95	77987.66	14402.067	55204.37	61532.08	26657.021	48474.77	49969.477	30762.848	34779.523	42752.992	14845.821	34443.418	30109.635	30003.229	33751.58	43069.707	61657.824	63241.08	48282.56
sp|P02652|APOA2_HUMAN	2651.0232	3090.5981	4440.325	3032.4727	4263.535	5404.069	2447.542	3954.343	3252.9934	5401.986	2287.89	6296.591	3410.4968	1716.623	2640.8433	3326.6755	6576.085	3373.057	1876.3398	5265.9746	5457.681	7345.5903	5174.0605	9195.555	1862.3597	5300.1157	5571.0156	1581.9504	4979.9893	5996.5283	3382.1025	3922.8228	3624.2197	510.99188	2175.194	2523.7527	2668.199	1511.5726	4020.8198	5911.8613	6946.697	4975.8994
sp|P02655|APOC2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	3528.685	4977.7095	4304.7793	NaN	NaN	NaN	NaN	NaN	NaN	2511.353	5807.4634	1689.2678	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4458.0874	4125.2285	3608.595
