Row Names	20180205_04_S171849_1186	20180205_23_S171850_1187	20180205_25_S171851_1188	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P50416|CPT1A_HUMAN	NaN	9.947316	8.7239895	7.6298823	8.868734	11.511197	11.023802	11.410782	11.374446	NaN	NaN	NaN	NaN	NaN	NaN	10.784329	10.382768	10.422263	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P50440|GATM_HUMAN	15.498977	16.052313	15.985226	14.806541	15.10397	15.033917	14.149362	14.98724	15.461781	15.852369	15.546404	15.696265	16.179144	16.193787	16.477285	16.215816	16.393257	15.860498	16.86771	17.578169	17.123058	17.836864	17.727758	17.64208	12.3767185	14.778094	14.524969	14.506309	14.979014	15.449572	14.664483	14.632489	15.46191	14.842232	16.111517	15.537475	16.09484	15.617526	16.40948	17.13283	16.746752	16.4408
sp|P50452|SPB8_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.623234	10.791153	9.906878	10.590557	10.83144	10.327752	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P50454|SERPH_HUMAN	12.058967	11.948322	11.940716	11.898979	12.283398	11.631388	NaN	NaN	NaN	11.044314	11.371487	11.079684	12.244023	12.349361	12.28267	NaN	NaN	NaN	11.532491	12.646538	12.264844	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.992039	7.78029	8.361974	NaN	NaN	NaN	12.035548	12.00996	12.364529
sp|P50502|F10A1_HUMAN	14.0396185	13.357131	13.017912	15.017757	14.953555	15.218013	14.974123	15.438674	15.594534	15.7956085	15.125706	15.758536	14.50518	14.485005	14.809833	14.837301	14.953024	14.458217	14.277763	15.613327	15.114422	15.337233	15.421428	15.266931	13.392928	14.927718	15.145493	8.196114	15.169543	15.702023	14.950267	15.05852	15.43916	13.981935	15.420337	15.015647	14.628963	14.456034	15.0860195	15.018902	14.622099	14.466376
sp|P50552|VASP_HUMAN	12.334387	13.03908	12.708808	11.302853	12.273181	13.086841	11.576882	13.022932	13.044348	13.605198	12.747491	12.786796	12.058955	11.973357	12.1258335	11.627313	11.655239	11.539956	12.120998	12.660846	11.872183	11.525974	11.883872	11.608941	12.093829	12.608749	12.570708	11.183111	12.088217	13.513913	12.222452	12.023324	12.055654	12.000626	11.735205	12.264753	11.207872	11.627009	11.846691	12.084109	12.206892	11.678661
sp|P50570|DYN2_HUMAN	10.35639	12.049972	11.935215	11.24392	11.235856	6.0710096	10.112416	11.684018	10.750331	12.598758	12.07749	12.992025	11.198368	11.482285	11.3834	11.4488125	11.643397	10.987858	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.870522	8.443711	10.322185	11.174046	11.615573	12.054646	9.988411	11.060382	11.337684	11.026192	10.8456135	11.3493185	NaN	NaN	NaN
sp|P50579|MAP2_HUMAN	5.191018	7.482948	7.691753	NaN	NaN	NaN	4.6855774	9.646843	7.481868	NaN	NaN	NaN	9.606885	6.535358	8.17767	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.5204759	6.6976147	9.729297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P50897|PPT1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.741198	11.787305	11.139854	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P50914|RL14_HUMAN	8.7549715	11.618056	11.301452	11.02122	11.399496	11.426816	10.655462	7.7704945	7.597347	12.211926	11.913278	11.888287	NaN	NaN	NaN	10.373344	11.0392065	10.478816	NaN	NaN	NaN	NaN	NaN	NaN	10.276895	11.466647	11.661498	9.305025	8.442209	9.214825	11.563924	11.646335	12.54005	10.942104	9.034906	8.662293	NaN	NaN	NaN	NaN	NaN	NaN
sp|P50990|TCPQ_HUMAN	13.330054	14.387903	14.141698	13.159275	13.253093	13.363639	13.335948	14.1523695	14.506588	15.060052	14.498519	14.870781	14.537835	14.405618	14.562193	13.742032	14.16169	13.283154	13.484744	14.742786	13.763601	14.307678	13.736621	14.073181	14.187392	14.691955	15.042591	13.7659025	14.363456	14.929716	13.457622	14.092279	14.306088	13.481587	14.700838	14.788201	12.913711	12.829017	12.963822	15.213901	14.765415	14.654942
sp|P50991|TCPD_HUMAN	11.678048	13.045347	12.979453	13.761723	13.472456	13.620557	13.25941	14.013677	14.169927	14.951731	14.137708	14.689175	13.493538	13.561872	13.963739	13.889822	14.040378	13.569858	13.70999	14.625999	13.911747	13.165034	12.858482	13.157951	10.918373	12.897516	12.445393	12.718481	13.856198	13.983778	13.591331	13.8576	14.37599	14.093618	14.519379	14.220809	13.364173	12.959574	13.814915	14.246948	13.547088	13.888332
sp|P50995|ANX11_HUMAN	12.2600565	12.821908	12.952126	12.522035	12.464367	11.8114805	13.8840275	13.227954	13.335985	13.749218	13.105785	13.635616	12.631167	12.637747	12.640342	12.54595	12.685849	12.661924	11.822242	12.629752	12.086919	12.299709	12.442765	12.304434	12.080036	13.008542	13.021438	13.50309	12.514763	13.06595	12.66667	12.827314	13.336799	11.960215	12.3972025	12.4135275	12.491365	11.650973	12.576519	11.989615	11.507094	11.893682
sp|P51114|FXR1_HUMAN	8.927009	8.865889	8.584003	NaN	NaN	NaN	NaN	NaN	NaN	9.171255	8.439672	9.229166	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.268331	7.345521	8.932492	NaN	NaN	NaN	9.525073	7.008624	9.618925	NaN	NaN	NaN
sp|P51116|FXR2_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.4648395	7.497063	8.056934	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.893698	7.8714724	0.8239554	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P51148|RAB5C_HUMAN	9.791605	12.735087	12.445641	12.819703	12.974202	13.153198	11.682938	12.77811	12.539477	13.19047	12.195259	12.907072	12.708821	12.354749	12.842857	12.163769	12.25606	11.663099	11.50511	12.118229	11.4946165	11.807504	12.27098	11.538123	9.844674	12.807159	13.057433	12.376063	12.491839	12.772174	12.267992	12.529188	13.198261	11.576976	12.644889	13.121525	11.656027	11.618085	12.279098	12.170555	12.138116	11.735048
sp|P51149|RAB7A_HUMAN	12.918405	12.911991	12.991064	13.5597	13.920703	13.801423	13.384916	13.818119	14.031856	13.88947	13.4900465	13.44224	13.171109	13.120889	13.568087	12.115344	12.251217	11.852083	12.576775	12.955855	12.228865	12.779843	12.568029	12.561387	10.921818	12.295054	12.298657	12.352806	12.846538	13.506446	12.95272	12.63456	13.577142	13.164127	13.373385	13.971459	12.789974	11.693984	12.971626	13.496477	13.411637	13.2883215
sp|P51452|DUS3_HUMAN	11.268884	11.293192	11.196521	12.246478	12.467808	6.7582617	11.560548	11.447318	11.671438	NaN	NaN	NaN	NaN	NaN	NaN	12.654256	12.548514	11.985479	12.413936	13.180347	12.769654	13.208403	12.84053	12.842629	10.834332	11.001822	11.192834	11.214126	12.554132	13.05109	11.312033	11.521058	11.77739	11.307731	12.570665	12.275425	11.67204	11.634928	13.035506	12.801288	11.910272	11.9867115
sp|P51570|GALK1_HUMAN	13.801835	14.295189	14.382279	14.159311	14.347873	13.599604	13.805778	14.652752	14.501769	14.327555	13.780163	14.016082	14.565406	14.549984	14.551479	14.803855	14.91819	14.332512	14.19383	15.224818	14.471967	15.4013815	15.103016	15.254962	13.861629	14.256947	14.219217	13.946334	12.874383	12.991149	13.553129	13.594271	14.003461	13.931629	14.259509	14.024151	14.531428	14.34858	14.756891	15.196852	15.1659775	14.800845
sp|P51571|SSRD_HUMAN	12.280235	13.67426	13.173606	13.188544	13.030153	13.802502	12.838067	13.3473015	13.441783	14.185452	13.792447	13.8984995	NaN	NaN	NaN	13.252833	13.147969	12.672056	NaN	NaN	NaN	12.47705	11.368022	12.236917	12.91096	13.491	13.564784	2.498949	11.773895	12.015425	12.576658	12.722635	13.448366	13.022845	13.547027	13.883418	12.11995	12.738565	12.710866	NaN	NaN	NaN
sp|P51572|BAP31_HUMAN	10.820133	13.7153	13.096609	14.688676	14.693073	12.18935	7.780827	13.210951	13.2579155	13.944067	13.69475	13.474493	14.413287	13.360432	13.986429	13.061048	12.917445	12.544802	11.888648	11.71254	11.04832	11.3539095	11.083813	11.065337	12.118975	11.621419	12.464956	11.630952	12.740928	12.694722	12.458437	12.884604	13.712163	12.2002325	12.549337	13.212789	12.833933	12.608161	13.581046	12.399139	12.518652	11.844331
sp|P51580|TPMT_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	9.258879	9.268263	9.198344	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P51648|AL3A2_HUMAN	12.059999	13.902704	13.622007	12.294861	12.304479	13.922643	13.51511	14.068342	14.098517	14.316035	14.1540575	14.129073	14.3899765	14.121242	14.463223	13.645798	13.76086	13.483689	13.605119	13.556041	12.83071	13.709378	13.064492	13.551107	12.828271	12.83028	12.823322	11.806637	10.649552	10.478535	13.078488	13.401104	14.318921	13.484354	14.629753	14.7232065	13.714452	12.58663	13.904518	13.889576	13.919294	13.580144
