Row Names	20180205_07_S171854_1191	20180205_08_S171853_1190	20180205_32_S171852_1189	20180205_03_S171856_1193	20180205_39_S171857_1194	20180205_49_S171855_1192	20180205_43_S171859_1196	20180205_45_S171858_1195	20180205_53_S171860_1197	20180205_28_S171862_1199	20180205_29_S171861_1198	20180205_37_S171863_1200	20180205_09_S171864_1201	20180205_13_S171865_1202	20180205_15_S171866_1203	20180205_16_S171868_1205	20180205_55_S171869_1206	20180205_57_S171867_1204	20180205_41_S171872_1209	20180205_48_S171870_1207	20180205_56_S171871_1208	20180205_12_S171875_1212	20180205_20_S171873_1210	20180205_35_S171874_1211	20180205_05_S171878_1215	20180205_27_S171876_1213	20180205_47_S171877_1214	20180205_17_S171881_1218	20180205_24_S171880_1217	20180205_36_S171879_1216	20180205_11_S171884_1221	20180205_21_S171883_1220	20180205_52_S171882_1219	20180205_19_S171885_1222	20180205_40_S171887_1224	20180205_44_S171886_1223	20180205_31_S171889_1226	20180205_33_S171888_1225	20180205_51_S171890_1227
sp|P61011|SRP54_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	7.4628124	9.606402	8.052412	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.003778	9.400496	9.068218	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61019|RAB2A_HUMAN	12.188168	12.546686	10.427772	5.1184797	11.5885935	11.895955	NaN	NaN	NaN	NaN	NaN	NaN	11.644079	11.527155	11.4457445	NaN	NaN	NaN	NaN	NaN	NaN	10.44983	11.670399	12.16335	NaN	NaN	NaN	NaN	NaN	NaN	10.061871	9.433296	10.581589	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61019|RAB2A_HUMAN : sp|Q8WUD1|RAB2B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.767203	9.501954	9.002392	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61020|RAB5B_HUMAN	8.809667	8.198655	9.097447	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	3.8137932	7.1212273	6.1554255	NaN	NaN	NaN	9.537271	9.450803	9.558481	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61026|RAB10_HUMAN	12.774044	12.190948	12.531518	12.406267	12.252061	12.333134	11.361239	12.543851	12.098258	12.256403	11.915926	12.41055	11.080678	10.91197	12.159073	9.778099	10.251465	10.481033	10.690663	10.24289	10.356358	NaN	NaN	NaN	12.415408	11.724882	11.469576	12.230316	11.843245	12.415817	12.424471	12.444027	13.025577	11.337762	10.836098	11.641398	10.578313	11.198452	11.022842
sp|P61081|UBC12_HUMAN	13.280883	13.220865	13.150949	NaN	NaN	NaN	10.1578045	9.946863	9.902239	NaN	NaN	NaN	NaN	NaN	NaN	5.186696	9.583982	9.543716	NaN	NaN	NaN	NaN	NaN	NaN	1.2979059	10.70962	10.960677	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61086|UBE2K_HUMAN	10.878114	10.388599	1.9955635	9.214921	9.611482	9.597102	NaN	NaN	NaN	10.62866	10.903789	10.499875	NaN	NaN	NaN	9.483074	10.718784	10.788117	NaN	NaN	NaN	NaN	NaN	NaN	10.399995	11.081873	10.897081	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61088|UBE2N_HUMAN	11.884447	12.079021	13.979049	12.12025	11.468204	11.514276	12.601532	12.280075	12.673282	11.448963	11.720311	11.830931	NaN	NaN	NaN	11.939471	10.142267	9.637918	NaN	NaN	NaN	12.639434	12.385035	12.262925	13.39149	12.8315525	12.839441	11.961741	12.10484	12.144992	13.444242	12.503685	12.439877	11.461358	11.896337	11.529471	12.107987	11.368096	11.439733
sp|P61088|UBE2N_HUMAN : sp|Q5JXB2|UE2NL_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.803648	12.325807	11.915506	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61106|RAB14_HUMAN	11.649535	11.5522785	11.462372	11.916454	10.764268	10.313464	10.634221	10.792518	10.862601	11.21604	11.187219	11.261304	NaN	NaN	NaN	NaN	NaN	NaN	9.915593	9.926376	9.933249	11.860305	11.509132	11.9759865	11.775807	12.017841	11.907402	12.231658	11.797232	12.328479	7.7900157	12.553101	13.104963	7.725316	7.8871	6.3095303	NaN	NaN	NaN
sp|P61158|ARP3_HUMAN	12.726859	12.664676	11.098541	12.316069	12.460916	12.376805	12.347166	12.086312	12.371068	12.884698	12.398245	12.246884	12.69335	12.638219	12.764894	12.41433	12.682305	11.946876	12.10062	12.312152	12.0829525	12.707785	11.591017	11.33228	12.727949	12.105288	12.4417	12.108451	12.427142	12.191175	11.971115	12.174715	13.3734255	11.952842	12.348178	12.241836	12.173624	12.20176	12.305192
sp|P61160|ARP2_HUMAN	12.96829	13.059734	12.333908	12.764152	11.94543	11.825667	12.71291	12.607091	12.544463	11.295348	11.492635	11.019363	12.513916	12.393135	12.343505	11.159281	12.259498	11.566294	10.346314	10.557849	10.25384	12.838956	12.904124	12.75806	12.356067	11.129467	11.210299	11.040545	11.854361	12.059211	13.2954445	12.382818	13.166989	11.0349	12.216684	11.648342	NaN	NaN	NaN
sp|P61163|ACTZ_HUMAN	14.396951	13.952844	15.118154	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	14.403315	14.648096	14.401583	NaN	NaN	NaN	14.741488	14.527906	14.942775	14.673584	14.7162	15.051519	14.255691	14.677756	14.467766	15.145483	14.9512415	14.892621	13.2466955	15.083592	15.283082	14.45048	14.687539	14.618001	NaN	NaN	NaN
sp|P61204|ARF3_HUMAN : sp|P84077|ARF1_HUMAN	12.86999	12.940961	12.895986	13.1678295	12.853116	12.735657	12.874431	12.760914	12.671207	13.385041	12.798999	13.039279	12.426187	12.397887	12.9902935	12.131633	12.385414	12.081749	10.346751	9.234119	11.196391	11.654763	13.233478	12.990994	12.206931	12.938155	13.01137	12.915698	12.98394	13.310877	13.214343	8.667851	9.014788	10.241367	11.908941	10.589728	NaN	NaN	NaN
sp|P61221|ABCE1_HUMAN	10.669301	10.513875	9.430944	11.244357	6.7163024	8.439105	NaN	NaN	NaN	8.835353	9.510474	10.348177	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	7.736858	10.326418	10.503256	7.3769135	6.9856286	6.9353657	11.130047	10.667032	9.283879	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61224|RAP1B_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	12.376903	12.681164	12.604882	NaN	NaN	NaN	11.851963	11.982335	12.011772	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	6.0996923	12.33379	12.097836	NaN	NaN	NaN	12.889212	12.645063	12.739962	NaN	NaN	NaN	NaN	NaN	NaN
sp|P61224|RAP1B_HUMAN : sp|P62834|RAP1A_HUMAN	12.489664	11.926476	12.739614	10.639765	12.105705	12.154449	NaN	NaN	NaN	12.354378	13.208947	13.3714075	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.401718	12.912888	12.911159	NaN	NaN	NaN	12.1981535	12.58899	12.327879	NaN	NaN	NaN	NaN	NaN	NaN	12.417008	12.226832	11.836365
sp|P61247|RS3A_HUMAN	14.409288	14.462812	14.527068	14.851543	14.487066	14.299479	14.370793	14.279893	14.12747	14.489594	14.4323015	14.49343	13.721416	13.808467	14.026709	13.334503	13.241173	12.963985	13.490874	13.105128	13.258666	14.637617	14.522611	14.826614	14.90127	14.901882	14.956885	14.457308	14.28833	14.348245	14.056679	14.520022	14.343235	13.912826	13.852059	14.165423	14.618187	14.453204	14.146324
sp|P61254|RL26_HUMAN	12.7663355	12.842497	12.801559	9.359325	13.232145	13.252017	12.374747	12.662461	12.260514	12.494322	12.618154	12.662746	11.83432	11.817432	12.518387	11.2863455	12.193622	12.349139	12.122813	12.191302	12.374856	9.631031	13.336568	13.511856	11.808498	13.4648695	13.136022	13.001002	12.948752	13.193176	13.329741	12.629632	12.235415	11.712642	9.437497	12.36801	12.95088	12.823768	12.469172
sp|P61289|PSME3_HUMAN	NaN	NaN	NaN	11.011938	10.417948	10.990053	9.751825	9.730092	9.724991	7.8999414	7.997322	8.405306	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.905684	9.9471655	10.057779	9.876497	9.394224	9.654078	10.9440775	10.23415	10.143256	NaN	NaN	NaN	NaN	NaN	NaN
