Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|Q96QA5|GSDMA_HUMAN	1.6188188	11.9754505	2.7529583	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96RP9|EFGM_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.247112	11.019099	11.39319	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q96RQ3|MCCA_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.779849	11.570374	12.151394	12.4747925	12.75668	12.5518675
sp|Q00266|METK1_HUMAN	13.671646	13.359017	13.452122	15.04588	14.7644005	15.053813	16.58857	15.123194	15.292906	14.620893	14.783502	14.533323	16.375835	16.377977	16.186512	15.131552	14.130842	14.950183	16.109737	16.22411	16.14329
sp|Q00325|MPCP_HUMAN	15.698494	14.522679	16.06171	11.133663	11.128729	12.880683	12.844488	12.414527	12.769707	15.74746	15.544966	15.385415	15.499081	15.17408	14.955469	15.804005	15.1835375	16.128855	15.795842	15.243991	15.435434
sp|Q00341|VIGLN_HUMAN	11.70528	12.062371	11.862794	11.483391	11.637218	11.770317	NaN	NaN	NaN	11.85695	11.999569	11.532488	11.496291	11.5131855	11.388824	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q562R1|ACTBL_HUMAN	12.083187	13.075649	11.772092	11.434337	11.378375	10.161785	10.309696	10.684961	11.406641	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q00610|CLH1_HUMAN	14.577707	14.898935	14.298524	15.397694	15.201094	14.909276	11.506086	13.793075	13.868921	14.403941	14.356816	14.561037	11.346265	11.0371	10.938336	13.265757	13.686605	13.303666	12.184311	10.410707	12.044592
sp|Q00688|FKBP3_HUMAN	NaN	NaN	NaN	10.925073	11.417977	11.86309	NaN	NaN	NaN	NaN	NaN	NaN	12.103287	12.154999	12.2810755	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q00796|DHSO_HUMAN	12.942028	12.851656	12.708117	13.066491	13.357834	13.225365	15.142295	14.666353	15.437869	13.674219	13.799377	13.746592	13.899263	14.189444	13.940073	13.87815	13.787861	14.0553465	14.401554	14.5844755	14.179989
sp|Q00839|HNRPU_HUMAN	14.509728	14.53548	14.306939	14.889649	14.8527155	14.684176	13.372762	14.737591	14.92396	13.702108	14.27067	13.8889065	12.844	12.906984	12.887871	13.644681	14.286958	13.730926	13.037417	12.783037	12.833307
sp|Q969H8|MYDGF_HUMAN	14.008163	13.858133	13.829418	14.531808	14.479564	14.511203	13.4885845	13.7404375	13.265482	12.599115	12.834319	12.832	13.571561	13.604497	13.734102	14.074724	14.591984	14.04072	12.824665	12.979462	13.138993
sp|Q969I3|GLYL1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.031982	10.228705	10.604489	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q969Q0|RL36L_HUMAN	8.774212	8.481139	9.586259	12.718573	13.111916	12.769251	13.409658	13.151848	13.838399	NaN	NaN	NaN	NaN	NaN	NaN	8.387327	9.663001	9.8684845	12.368349	12.668323	12.468242
sp|Q969V3|NCLN_HUMAN	10.615794	9.623979	10.239016	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q969X5|ERGI1_HUMAN	11.134266	8.398969	11.157191	12.456771	13.277835	13.61394	NaN	NaN	NaN	NaN	NaN	NaN	11.238225	10.587993	10.652953	10.562465	9.2716465	10.220544	NaN	NaN	NaN
sp|Q969Z3|MARC2_HUMAN	12.754962	12.179505	12.975734	11.660995	12.180706	12.485584	NaN	NaN	NaN	12.699566	12.556766	11.966408	NaN	NaN	NaN	13.008969	12.2528305	13.053583	NaN	NaN	NaN
sp|Q01082|SPTB2_HUMAN	13.401196	13.325404	13.230641	12.551592	13.46252	13.391174	14.4235935	13.555105	13.85429	14.137586	14.071082	14.605492	14.05285	14.06081	14.136662	14.567095	13.610242	14.390529	14.107264	12.913147	13.568436
sp|Q01469|FABP5_HUMAN	13.6376505	18.661797	13.402953	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q01518|CAP1_HUMAN	12.880613	12.908658	12.242876	14.066239	14.20576	14.635651	14.72237	14.955095	15.17313	14.94028	14.705404	14.807362	14.674234	14.59054	14.712236	14.521396	14.516531	14.31241	13.101887	13.497969	13.066557
sp|Q01581|HMCS1_HUMAN	13.912748	13.715932	13.768964	13.756206	14.0978	14.484901	13.821383	13.350752	13.17128	11.061975	11.36632	13.816495	NaN	NaN	NaN	NaN	NaN	NaN	13.367766	13.082161	14.028528
sp|Q01668|CAC1D_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.667915	12.667521	12.918042	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q02218|ODO1_HUMAN	10.950723	9.930463	11.010146	11.799251	12.183245	11.818271	11.006665	10.020898	10.547041	NaN	NaN	NaN	11.314549	11.774673	11.614488	11.307233	10.772464	11.409313	13.011035	13.124932	12.94055
sp|Q02252|MMSA_HUMAN	16.125061	15.497501	15.756702	15.292875	14.985058	14.860484	15.416533	15.829724	15.851591	13.834247	13.732949	13.677302	14.0112705	13.919925	14.021312	15.392081	16.00899	15.482024	13.816236	14.026702	13.381372
sp|Q02338|BDH_HUMAN	14.265754	13.940115	14.020624	13.14768	13.1092205	13.126277	14.562476	14.378656	13.9715805	14.197142	14.21464	13.90045	13.056928	12.102482	12.79667	14.467349	14.398232	14.229929	NaN	NaN	NaN
sp|Q02383|SEMG2_HUMAN	NaN	NaN	NaN	9.325135	9.288512	14.332693	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|Q02413|DSG1_HUMAN	13.864364	16.103676	13.622201	11.854411	12.965659	12.998196	11.531373	15.2182665	7.927413	NaN	NaN	NaN	12.141527	10.397788	11.2305565	11.462078	11.325609	12.222808	NaN	NaN	NaN
sp|Q02539|H11_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	8.6381445	9.895311	NaN	NaN	NaN	NaN	NaN	NaN	9.943799	9.332849	9.21765	NaN	NaN	NaN
sp|Q02543|RL18A_HUMAN	NaN	NaN	NaN	12.577629	12.766325	11.616287	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
