Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P09497|CLCB_HUMAN	10.439108	10.803562	10.485416	NaN	NaN	NaN	9.848659	10.193278	11.324038	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P09525|ANXA4_HUMAN	15.244874	15.228933	14.638686	14.933277	14.98346	15.531947	15.544131	14.947144	15.22465	15.737844	15.410628	15.032878	13.627583	13.6097355	13.557426	16.255234	15.96216	15.707948	14.52824	14.512371	14.096504
sp|P09622|DLDH_HUMAN	15.573135	16.020933	15.271527	13.885965	13.699351	14.319594	13.965426	12.25004	12.382995	14.535549	14.035132	13.444089	13.856697	14.0297785	14.223996	13.76811	14.268615	13.587581	14.001291	13.969254	14.084913
sp|P09651|ROA1_HUMAN	13.937128	13.785624	13.610475	12.615646	13.055574	13.614242	12.585433	14.177618	14.99529	13.812289	14.114806	13.871825	13.49983	13.8156595	13.871381	13.068884	14.594119	13.289184	13.173392	13.057628	12.304463
sp|P09871|C1S_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	10.400332	10.551632	11.561795	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P09874|PARP1_HUMAN	12.239147	11.398858	11.720331	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P09936|UCHL1_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.728714	10.423747	11.418005	NaN	NaN	NaN	10.910966	10.790073	11.483209	11.01929	11.762996	10.515595	NaN	NaN	NaN
sp|P09960|LKHA4_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	10.584769	10.862168	12.13679	NaN	NaN	NaN	11.155519	11.417228	11.325445	12.676952	11.201152	12.444085	NaN	NaN	NaN
sp|P09972|ALDOC_HUMAN	15.551313	15.626527	15.054467	14.825917	15.352875	15.87279	13.287439	11.603288	11.652829	12.87381	12.58978	12.594063	13.909643	14.111516	14.245264	13.943946	12.745125	13.502939	15.128427	15.035424	15.033043
sp|P10109|ADX_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.383648	11.365186	11.516166	NaN	NaN	NaN	11.4868965	11.281248	11.764722
sp|P10253|LYAG_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	12.551999	12.87224	12.749085	12.867141	11.560869	12.53081	13.350089	12.851318	13.354205
sp|P10319|1B58_HUMAN : sp|P30491|1B53_HUMAN : sp|P30504|1C04_HUMAN : sp|P30508|1C12_HUMAN : sp|P30510|1C14_HUMAN : sp|P30685|1B35_HUMAN : sp|Q07000|1C15_HUMAN : sp|Q29865|1C18_HUMAN : sp|Q29963|1C06_HUMAN	9.886721	8.656316	9.270966	12.893317	13.091266	13.283584	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P10412|H14_HUMAN : sp|P16402|H13_HUMAN : sp|P16403|H12_HUMAN	13.739399	13.30636	13.333386	14.255941	14.203954	14.491556	13.033257	12.405365	12.683723	13.08387	13.023338	12.434546	NaN	NaN	NaN	12.876821	12.640865	12.069369	13.672306	13.040801	13.64821
sp|P10412|H14_HUMAN : sp|P16402|H13_HUMAN : sp|P16403|H12_HUMAN : sp|Q02539|H11_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.954541	11.526108	12.237084	NaN	NaN	NaN	NaN	NaN	NaN
sp|P10515|ODP2_HUMAN	11.179342	10.837717	10.680915	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.650949	11.66355	11.622599	12.008521	11.266526	11.961256	12.384538	12.445439	12.440595
sp|P10599|THIO_HUMAN	14.249533	14.389689	13.943192	16.607916	16.787111	17.646948	16.124275	16.246073	16.758219	17.09905	16.911316	16.170547	16.06301	16.255995	16.524006	15.961189	16.814577	15.974664	16.121813	15.874729	16.18781
sp|P10606|COX5B_HUMAN	14.533906	14.598779	14.00389	14.150727	14.09033	14.5433855	11.217834	14.645474	14.414689	13.86969	13.7552595	12.404406	14.761898	14.504234	14.214804	13.81371	13.31338	13.292204	13.6290455	13.293008	14.028884
sp|P10619|PPGB_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	13.073899	12.665232	11.984561	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P10632|CP2C8_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	2.900254	9.82219	9.34275	9.102735	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P10644|KAP0_HUMAN	11.804994	11.311832	11.301546	10.544942	10.7729435	11.380625	NaN	11.155757	11.600802	11.017292	10.827245	10.052512	11.247048	10.900877	11.257463	12.68317	12.657816	12.377276	10.40333	10.175496	10.085831
sp|P10768|ESTD_HUMAN	13.098734	13.048326	12.70122	13.991732	13.645206	13.894595	14.0302105	13.538248	13.692989	14.286082	14.3343935	13.751329	15.436068	15.434766	15.586297	13.466439	12.910852	13.211994	14.991456	14.909904	15.10851
sp|P10809|CH60_HUMAN	18.07038	18.31206	18.058842	18.365944	17.956274	18.673626	17.110565	16.997631	17.70167	17.384531	17.217575	17.161074	17.860895	17.952515	18.038795	17.314545	17.488325	16.917696	18.289835	18.296907	18.293348
sp|P10909|CLUS_HUMAN	16.547607	16.416418	16.296875	16.963905	16.823223	17.578245	15.965459	17.757685	18.040972	16.700626	16.617146	16.1567	16.571795	16.429337	16.738884	17.510157	17.379105	17.664137	14.912983	14.928102	13.886653
sp|P11021|GRP78_HUMAN	17.863895	17.77883	17.34479	17.655626	17.66121	18.288027	16.406317	17.457188	17.746319	16.820972	16.561035	16.290413	17.32223	17.330505	17.429379	16.507128	17.184746	16.540987	16.537115	16.584995	16.763798
sp|P11117|PPAL_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	11.602253	11.192914	11.898351
sp|P11142|HSP7C_HUMAN	17.77558	17.924223	17.117285	15.7183485	16.052471	16.576761	16.277971	16.901636	17.153921	17.015583	17.170511	16.468822	16.566536	16.618591	16.76929	16.725548	17.859913	16.47459	15.128937	15.086313	15.151216
sp|P11177|ODPB_HUMAN	NaN	NaN	NaN	10.595814	10.319201	11.694102	13.885149	12.091543	12.751239	12.341665	12.070505	11.383778	13.144966	13.225513	13.470754	13.044305	12.589817	13.32827	13.296208	13.328625	13.852867
sp|P11216|PYGB_HUMAN	NaN	NaN	NaN	11.345639	11.141808	11.648297	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
