Row Names	20160419_12_445	20160419_27_447	20160419_31_446	20160419_08_449	20160419_10_450	20160419_13_448	20160419_04_452	20160419_06_453	20160419_17_451	20160419_25_454	20160419_26_455	20160419_30_456	20160419_09_457	20160419_14_458	20160419_16_459	20160419_05_460	20160419_18_462	20160419_20_461	20160419_21_464	20160419_22_463	20160419_29_465
sp|P22314|UBA1_HUMAN	20762.695	16227.779	13441.557	17581.86	17155.934	19793.836	24382.215	23290.059	23573.93	23026.625	16102.863	17659.75	11953.395	11119.567	10465.672	16456.414	12812.209	13213.045	16892.0	11956.41	18314.527
sp|P22392|NDKB_HUMAN	27342.691	34556.34	17600.652	23878.441	28970.37	47811.65	13959.484	23465.758	24605.297	17423.379	14937.44	12173.918	18696.586	23246.52	21919.547	18561.027	28154.695	18635.467	18655.74	16801.857	21642.775
sp|P22570|ADRO_HUMAN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	1436.7175	2479.5156	3425.1943	NaN	NaN	NaN	1922.5634	1889.7654	2436.994
sp|P22626|ROA2_HUMAN	95122.05	85171.67	60725.71	43383.863	45525.38	64489.293	20754.598	34670.824	54111.07	39551.945	33302.32	23700.654	43361.65	42331.117	51634.67	28836.684	43227.836	23577.008	43711.137	41530.35	44362.156
sp|P22695|QCR2_HUMAN	37212.617	40474.133	25746.16	11277.732	10787.256	13200.844	18320.79	5928.4663	8039.2666	5.418085	33.35927	2839.6707	26951.727	31473.719	27607.938	23348.477	4839.896	27027.889	20700.578	19426.484	17049.219
sp|P22735|TGM1_HUMAN	354.92636	18759.156	114.94292	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P22760|AAAD_HUMAN	21288.873	9537.753	12777.884	12807.802	11228.939	17242.508	5700.6943	14857.576	22928.57	16192.24	13783.232	9014.85	NaN	NaN	NaN	4884.8384	9652.789	4934.643	2932.683	825.7007	3055.8057
sp|P23141|EST1_HUMAN	393109.9	209056.28	257981.23	330615.0	370558.28	468588.88	183511.47	268808.56	370405.1	303053.97	247255.5	125222.86	219069.9	221512.19	227829.38	161131.44	485242.94	146695.75	114929.55	91429.51	111581.59
sp|P23246|SFPQ_HUMAN	9909.665	9730.438	9005.152	10023.47	8328.177	14190.615	1937.9287	7920.3223	12070.045	6280.9956	4957.2007	5100.96	NaN	NaN	NaN	NaN	NaN	NaN	3114.7908	3517.8696	4384.983
sp|P23284|PPIB_HUMAN	21210.389	22463.027	14795.889	12590.69	7958.337	14950.607	5420.007	20602.889	25055.71	5153.619	5779.613	2115.8223	17249.41	15407.319	14030.531	11343.238	23700.406	8259.777	NaN	NaN	NaN
sp|P23378|GCSP_HUMAN	14911.873	11034.445	8497.934	13854.177	10645.869	17281.902	7907.2197	9946.845	14791.919	6716.0996	3919.9604	2038.7316	6038.126	4946.553	6726.4834	7573.326	13866.248	8559.235	5995.895	5317.025	7239.006
sp|P23381|SYWC_HUMAN	6968.635	3356.3022	2753.5479	NaN	NaN	NaN	4785.0986	4638.8877	6027.4473	5489.878	3913.7231	2407.7432	2094.374	2129.5916	6457.65	NaN	NaN	NaN	3583.651	3598.0356	5095.123
sp|P23396|RS3_HUMAN	6138.714	10084.912	3969.7097	1319.7798	1578.9204	3392.536	6314.409	14439.004	13274.59	1857.8915	2346.033	598.17346	10077.12	8103.296	10676.609	10625.826	28103.86	8001.3335	6362.6855	3114.3015	5873.083
sp|P23526|SAHH_HUMAN	24254.074	24523.143	16618.256	5039.7275	4929.8574	10688.703	11139.363	11221.7705	14695.516	10051.442	8836.049	7456.794	5357.21	5716.2124	6720.978	8628.414	13448.53	7967.2896	5070.007	4267.9307	5441.64
sp|P23528|COF1_HUMAN	88882.055	145689.53	90379.69	78237.05	77913.164	123390.6	58181.766	66447.5	122604.99	21783.598	21622.883	18562.047	80127.28	89000.89	100527.06	88917.375	134165.03	115846.26	99269.52	81393.64	86471.28
sp|P23588|IF4B_HUMAN	3294.2637	936.7721	2321.0542	3670.184	2696.0088	3756.51	979.5808	2034.4078	2313.4053	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN
sp|P23786|CPT2_HUMAN	4698.2793	3453.4712	3063.6687	2260.279	2057.9492	4625.189	9410.381	1937.6101	2918.9111	4873.748	3531.288	3251.008	3462.67	3307.5283	4647.013	8853.374	3355.0828	9396.022	5767.1543	4144.782	5175.007
sp|P24298|ALAT1_HUMAN	2119.641	2162.226	1714.0483	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	NaN	4478.2446	4637.3286	4716.615	9364.789	1102.8893	6415.44	NaN	NaN	NaN
sp|P24534|EF1B_HUMAN	15449.575	15207.234	11788.392	40904.914	30391.42	46494.836	29821.773	34698.797	50115.848	39064.367	32861.5	34749.688	37254.22	36124.273	41543.094	40835.086	39795.234	31599.033	22333.61	22641.814	31266.13
sp|P24539|AT5F1_HUMAN	33439.465	26269.01	24331.482	2278.938	3708.254	24588.857	4703.312	18247.945	22033.324	NaN	NaN	NaN	7087.9053	7480.4355	8791.971	8163.143	11882.12	6186.4873	2481.4834	1871.5199	2089.0537
